ProductID,Good Weather Impact,Brand Affinity,Product Size,Brand,Category,SubCategory,Description
2477202,Negative,10,200,Cenovis,Vitamins,Multi Vitamins,Multivitamin & Minerals 200 Tablets
2482445,Positive,10,200,Cenovis,Vitamins,"Bones, Joints and Muscles",Mega Calcium +D 200 Tablets Value Pack
2485787,Negative,2,168,Blackmores,Vitamins,"Cold, Flu and Immunity",Bio Zinc 168 Tablets
2490626,Negative,9,62,Blackmores,Vitamins,"Cold, Flu and Immunity",Bio C 1000mg 62 Tablets Vitamin C
2490701,Positive,9,62,Blackmores,Vitamins,Energy,Executive B Stress Formula 62 Tablets
2491287,Positive,1,75,Nature's Own,Vitamins,Energy,Super B Complex 75 Tablets
2497561,Negative,9,50,Blackmores,Vitamins,"Cold, Flu and Immunity",Bio C 500mg 50 Chewable Tablets Vitamin C
2498306,Negative,10,40,Blackmores,Vitamins,"Cold, Flu and Immunity",Echinacea Forte 3000mg 40 Tablets
2498307,Negative,9,50,Blackmores,Vitamins,"Cold, Flu and Immunity",Echinacea Liquid 50mL
2511675,Negative,10,60,Cenovis,Vitamins,"Cold, Flu and Immunity",Mega C
2512968,Positive,4,200,Nature's Way,Vitamins,Energy,Mega B 200 Tablets
2516140,Negative,10,300,Cenovis,Vitamins,"Cold, Flu and Immunity",Vitamin C 500mg Sugarless 300 Chewable Tablets
2519196,Positive,5,45,Berocca,Vitamins,Energy,Performance Orange 45 Effervescent Tablets
2521316,Negative,2,60,Cenovis,Vitamins,"Cold, Flu and Immunity",Echinacea 5000 60 Capsules
2580788,Negative,9,180,Blackmores,Vitamins,Multi Vitamins,Sustained Release Multi + Antioxidants 180 Tablets
2581419,Positive,7,30,Berocca,Vitamins,Energy,Energy Vitamin Original Berry Effervescent Tablets 30 pack
2581989,Negative,9,150,Blackmores,Vitamins,"Cold, Flu and Immunity",Echinacea Forte 150 Tablets
2586498,Negative,4,400,Healthy Care,Vitamins,Omega-3,Fish Oil 1000mg Omega 3 400 Capsules
2589570,Negative,2,500,Healthy Care,Vitamins,"Cold, Flu and Immunity",Vitamin C 500mg Chewable 500 Tablets
2595156,Negative,2,200,Healthy Care,Vitamins,Multi Vitamins,Super Multi Chewable Berry 200 Tablets
2595258,Positive,9,200,Blackmores,Vitamins,"Bones, Joints and Muscles",Vitamin D3 1000IU 200 Capsules
2595259,Positive,9,200,Blackmores,Vitamins,"Bones, Joints and Muscles",Total Calcium & Magnesium + D3 200 Tablets
2605121,Positive,9,200,Blackmores,Vitamins,Bones and Joint Health,Vegetarian Glucosamine Complex 1000mg 200 Tablets
2605125,Positive,9,300,Blackmores,Vitamins,Bones and Joint Health,Glucosamine 1000mg 300 Tablets
2605127,Positive,9,180,Blackmores,Vitamins,Bones and Joint Health,Glucosamine Sulfate 1500mg One-A-Day 180 Tablets
2608063,Positive,10,90,Swisse,Vitamins,Beauty and Body,Ultiboost Iron 30 Tablets 
2616811,Negative,1,200,Nature's Own,Vitamins,Omega-3,Fish Oil Odourless 2000mg 200 Capsules
2622999,Negative,10,60,Swisse,Vitamins,"Cold, Flu and Immunity",Ultiboost Zinc+ 60 Tablets
2623416,Negative,4,120,Nature's Way ,Vitamins,Multi Vitamins,Vita Gummies Adult Multi-Vitamin 120 Gummies
2628159,Negative,9,150,Blackmores,Vitamins,Multi Vitamins,Men's Performance Multi Bulk Pack 150 Tablets
2628241,Positive,10,60,Cenovis,Vitamins,Bones and Joint Health,Joint Repair Krill Oil + Glucosamine 60 Capsules
2628275,Positive,5,150,Bioglan,Vitamins,Energy, Active Magnesium 1000mg 150 Tablets
2632206,Positive,10,150,Swisse,Vitamins,"Bones, Joints and Muscles",Ultiboost Calcium + Vitamin D 150 Tablets
2632207,Positive,10,60,Swisse,Vitamins,Energy,Ultiboost Mega B + 60 Tablets
2632209,Negative,10,400,Swisse,Vitamins,Omega-3,Ultiboost Odourless High Strength Wild Fish Oil 1500mg 400 Capsules
2636744,Positive,2,300,Ostelin,Vitamins,"Bones, Joints and Muscles",Calcium & Vitamin D3 300 Tablets Exclusive Size
2640504,Positive,10,400,Swisse,Vitamins,"Bones, Joints and Muscles",Ultiboost Vitamin D 400 Capsules
2640505,Positive,10,200,Swisse,Vitamins,"Bones, Joints and Muscles",Ultiboost Magnesium 200 Tablets
2641291,Positive,10,250,Cenovis,Vitamins,"Bones, Joints and Muscles",Magnesium Value Pack 250 Tablets Exclusive
2650313,Positive,3,300,Caltrate,Vitamins,"Bones, Joints and Muscles",Vitamin D 1000iu 300 Capsules Exclusive Size
2653388,Negative,2,120,Nature's Own,Vitamins,"Cold, Flu and Immunity",High Strength Zinc 30mg 120 Tablets
2653392,Negative,1,30,Nature's Own,Vitamins,"Cold, Flu and Immunity",High Strength Echinacea 10000mg 30 Tablets
2653408,Positive,10,180,Swisse,Vitamins,Bones and Joint Health,Glucosamine Sulfate 1500mg 180 Tablets
2654428,Negative,9,400,Blackmores,Vitamins,Omega-3,Odourless Fish Oil 400 Mini Capsules
2656191,Positive,10,400,Cenovis,Vitamins,"Bones, Joints and Muscles",Vitamin D3 1000IU 400 Tablets Exclusive
2661356,Positive,10,80,Cenovis,Vitamins,Beauty and Body,Iron Plus 80 Tablets
2661359,Positive,10,150,Cenovis,Vitamins,Energy,B Complex 150 Tablets
2661360,Negative,10,150,Cenovis,Vitamins,"Cold, Flu and Immunity",Zinc Plus 25mg 150 Tablets
2662978,Positive,2,10,VOOST,Vitamins,Energy,Vitamin B Effervescent 10 Tablets
2662980,Positive,2,10,VOOST,Vitamins,"Bones, Joints and Muscles",Magnesium Effervescent 10 Tablets
2662983,Positive,2,10,VOOST,Vitamins,"Bones, Joints and Muscles",Vitamin D Effervescent 10 Tablets
2667437,Negative,10,50,Cenovis,Vitamins,Multi Vitamins,Once Daily Womens Multi + Energy Boost 50 Capsules
2667439,Negative,10,100,Cenovis,Vitamins,Multi Vitamins,Once Daily Men's Multi Vitamins & Minerals 100 Capsules
2667440,Negative,10,100,Cenovis,Vitamins,Multi Vitamins,Once Daily 50+ Multi Vitamins & Minerals 100 Capsules
2670186,Positive,4,300,Nature's Way,Vitamins,"Bones, Joints and Muscles",High Strength Magnesium 600mg 300 Tablets
2673074,Positive,7,160,Nature's Own,Vitamins,Bones and Joint Health,Glucosamine Sulfate 1500 With Chondroitin 160 Tablets
2673095,Positive,7,100,Wagner,Vitamins,"Bones, Joints and Muscles",Super Bio Magnesium 100 Tablets
2673102,Positive,7,100,Wagner,Vitamins,"Bones, Joints and Muscles",Calcium + Vitamin D + K 100 Tablets
2673105,Positive,7,100,Wagner,Vitamins,Energy,Mega B+ 100 Capsules
2673107,Negative,7,100,Wagner,Vitamins,Multi Vitamins,Multivite For 50+ 100 Capsules
2673114,Negative,3,120,Wagner,Vitamins,"Cold, Flu and Immunity",High Strength Zinc 120 Tablets
2673119,Positive,2,200,Wagner,Vitamins,Bones and Joint Health,Glucosamine & Chondroitin + 200 Capsules
2673126,Negative,1,400,Wagner,Vitamins,Omega-3,Fish Oil 1000 400 Capsules
2675163,Negative,1,50,Carusos Natural Health,Vitamins,"Cold, Flu and Immunity", One a Day Echinacea 6500mg 50 Tablets
2679547,Negative,4,120,Natures Way ,Vitamins,Multi Vitamins,Multi + Probiotic 120 Capsules
2679612,Negative,9,60,Blackmores,Vitamins,Multi Vitamins,Womens Vitality Multi 60 Tablets
2683752,Negative,2,10,Voost,Vitamins,"Cold, Flu and Immunity",Echinacea Effervescent 10 Tablets
2683927,Negative,9,90,Blackmores,Vitamins,Omega-3,Omega Double High Strength Fish Oil 90 Capsules
2684523,Positive,10,60,Berocca,Vitamins,Energy,Limited Edition Celebration 60 Pack