Date,State,Temperature,Precipitation
1012018,NSW,23,0
2012018,NSW,24,3.05
3012018,NSW,21,0.51
4012018,NSW,21,0
5012018,NSW,22,0
6012018,NSW,26,0
7012018,NSW,33,0
8012018,NSW,29,0.25
9012018,NSW,26,0
10012018,NSW,21,0
11012018,NSW,22,0
12012018,NSW,25,0
13012018,NSW,28,0
14012018,NSW,18,0
15012018,NSW,19,0
16012018,NSW,19,0
17012018,NSW,19,0
18012018,NSW,21,0
19012018,NSW,24,0
20012018,NSW,26,0
21012018,NSW,24,0
22012018,NSW,27,0
23012018,NSW,26,0
24012018,NSW,26,0
25012018,NSW,25,0
26012018,NSW,26,0
27012018,NSW,27,0
28012018,NSW,26,0
29012018,NSW,27,0
30012018,NSW,26,0.51
31012018,NSW,19,0
1022018,NSW,19,6.1
2022018,NSW,18,3.05
3022018,NSW,20,3.05
4022018,NSW,21,0.25
5022018,NSW,21,0
6022018,NSW,23,0
7022018,NSW,24,0
8022018,NSW,25,0
9022018,NSW,24,0.51
10022018,NSW,25,2.03
11022018,NSW,24,0
12022018,NSW,24,0
13022018,NSW,25,0
14022018,NSW,31,0
15022018,NSW,24,0
16022018,NSW,23,0
17022018,NSW,24,0
18022018,NSW,26,0
19022018,NSW,24,9.91
20022018,NSW,21,0.25
21022018,NSW,21,0
22022018,NSW,23,0
23022018,NSW,24,0
24022018,NSW,27,0
25022018,NSW,21,20.07
26022018,NSW,19,2.03
27022018,NSW,21,0.51
28022018,NSW,23,0.25
1032018,NSW,23,0
2032018,NSW,21,0
3032018,NSW,24,0
4032018,NSW,23,0
5032018,NSW,21,3.05
6032018,NSW,21,3.05
7032018,NSW,21,0.51
8032018,NSW,21,0.25
9032018,NSW,22,0.76
10032018,NSW,22,0
11032018,NSW,23,0
12032018,NSW,22,53.09
13032018,NSW,20,3.05
14032018,NSW,23,0
15032018,NSW,27,0
16032018,NSW,23,0
17032018,NSW,26,0
18032018,NSW,30,0
19032018,NSW,26,0
20032018,NSW,23,7.87
21032018,NSW,20,5.08
22032018,NSW,20,3.05
23032018,NSW,21,0.25
24032018,NSW,22,0
25032018,NSW,27,1.02
26032018,NSW,23,0
27032018,NSW,19,0
28032018,NSW,22,0
29032018,NSW,24,0
30032018,NSW,24,0
31032018,NSW,22,0
1042018,NSW,24,0
2042018,NSW,26,3.05
3042018,NSW,22,0.25
4042018,NSW,22,0
5042018,NSW,23,0
6042018,NSW,22,0
7042018,NSW,24,0
8042018,NSW,23,0
9042018,NSW,28,0
10042018,NSW,21,0
11042018,NSW,24,0
12042018,NSW,27,0
13042018,NSW,29,0
14042018,NSW,27,0
15042018,NSW,21,0
16042018,NSW,24,0
17042018,NSW,19,0
18042018,NSW,20,0
19042018,NSW,21,0
20042018,NSW,19,0
21042018,NSW,19,0
22042018,NSW,19,0
23042018,NSW,19,0
24042018,NSW,19,0
25042018,NSW,19,0
26042018,NSW,19,0
27042018,NSW,18,4.06
28042018,NSW,17,0.51
29042018,NSW,17,10.92
30042018,NSW,16,0
1052018,NSW,18,0
2052018,NSW,19,0
3052018,NSW,20,0
4052018,NSW,22,0
5052018,NSW,17,0
6052018,NSW,16,0
7052018,NSW,19,0
8052018,NSW,19,0
9052018,NSW,19,0
10052018,NSW,20,0
11052018,NSW,13,1.02
12052018,NSW,13,0
13052018,NSW,15,7.11
14052018,NSW,16,0
15052018,NSW,14,0
16052018,NSW,14,0
17052018,NSW,15,0
18052018,NSW,13,0
19052018,NSW,14,0
20052018,NSW,16,0
21052018,NSW,16,0
22052018,NSW,17,0
23052018,NSW,17,0
24052018,NSW,14,0
25052018,NSW,16,0
26052018,NSW,16,0
27052018,NSW,16,0
28052018,NSW,16,0
29052018,NSW,18,4.06
30052018,NSW,13,0
31052018,NSW,12,0
1062018,NSW,14,0.25
2062018,NSW,13,0
3062018,NSW,15,0.25
4062018,NSW,13,0.76
5062018,NSW,12,24.89
6062018,NSW,13,12.95
7062018,NSW,14,0
8062018,NSW,14,5.08
9062018,NSW,14,2.03
10062018,NSW,13,3.05
11062018,NSW,13,0.25
12062018,NSW,13,0
13062018,NSW,15,0
14062018,NSW,14,0
15062018,NSW,16,0
16062018,NSW,13,0
17062018,NSW,11,0
18062018,NSW,12,0.25
19062018,NSW,12,7.87
20062018,NSW,13,0.25
21062018,NSW,13,0.25
22062018,NSW,13,0
23062018,NSW,13,0
24062018,NSW,11,0
25062018,NSW,11,0
26062018,NSW,11,0.25
27062018,NSW,13,16
28062018,NSW,14,6.1
29062018,NSW,8,0
30062018,NSW,11,0
1072018,NSW,14,0
2072018,NSW,14,11.94
3072018,NSW,13,0
4072018,NSW,14,0
5072018,NSW,17,0
6072018,NSW,20,0
7072018,NSW,13,0
8072018,NSW,13,0
9072018,NSW,13,0
10072018,NSW,12,0
11072018,NSW,12,0
12072018,NSW,13,0.51
13072018,NSW,12,0
14072018,NSW,11,0
15072018,NSW,11,0
16072018,NSW,11,0
17072018,NSW,16,0
18072018,NSW,16,0
19072018,NSW,13,0
20072018,NSW,16,0
21072018,NSW,12,0
22072018,NSW,11,0
23072018,NSW,12,0
24072018,NSW,18,0
25072018,NSW,17,0
26072018,NSW,13,0
27072018,NSW,13,0
28072018,NSW,14,0
29072018,NSW,19,0
30072018,NSW,14,0
31072018,NSW,13,0
1082018,NSW,15,0
2082018,NSW,13,0
3082018,NSW,16,0
4082018,NSW,16,0
5082018,NSW,13,0
6082018,NSW,16,2.03
7082018,NSW,14,0
8082018,NSW,14,0
9082018,NSW,13,0
10082018,NSW,14,0
11082018,NSW,19,0
12082018,NSW,13,0
13082018,NSW,14,0
14082018,NSW,16,0
15082018,NSW,18,0
16082018,NSW,16,0
17082018,NSW,12,0
18082018,NSW,14,0
19082018,NSW,12,0
20082018,NSW,11,0
21082018,NSW,12,0
22082018,NSW,12,0
23082018,NSW,12,0
24082018,NSW,13,0
25082018,NSW,14,0.25
26082018,NSW,14,0.51
27082018,NSW,13,0.25
28082018,NSW,10,0
29082018,NSW,10,0
30082018,NSW,11,0
31082018,NSW,13,3.05
1092018,NSW,16,0
2092018,NSW,12,0
3092018,NSW,11,6.1
4092018,NSW,14,0.76
5092018,NSW,13,0.25
6092018,NSW,15,4.06
7092018,NSW,18,29.97
8092018,NSW,13,0.51
9092018,NSW,16,0
10092018,NSW,16,0
11092018,NSW,17,0
12092018,NSW,20,0
13092018,NSW,16,0
14092018,NSW,19,0.25
15092018,NSW,22,0
16092018,NSW,12,0
17092018,NSW,12,0
18092018,NSW,17,0
19092018,NSW,22,0
20092018,NSW,13,0.51
21092018,NSW,14,0
22092018,NSW,16,0
23092018,NSW,16,0
24092018,NSW,13,0
25092018,NSW,13,0.25
26092018,NSW,13,0.51
27092018,NSW,14,0.25
28092018,NSW,21,2.03
29092018,NSW,17,0
30092018,NSW,13,0
1102018,NSW,16,0
2102018,NSW,18,0
3102018,NSW,20,0.25
4102018,NSW,16,7.87
5102018,NSW,14,11.94
6102018,NSW,16,0.25
7102018,NSW,14,4.06
8102018,NSW,17,0.51
9102018,NSW,19,0
10102018,NSW,17,7.87
11102018,NSW,14,3.05
12102018,NSW,15,0
13102018,NSW,17,3.05
14102018,NSW,18,2.03
15102018,NSW,18,4.06
16102018,NSW,21,0.25
17102018,NSW,21,7.87
18102018,NSW,21,7.11
19102018,NSW,22,0
20102018,NSW,23,21.08
21102018,NSW,18,0.25
22102018,NSW,19,0
23102018,NSW,21,0
24102018,NSW,18,0
25102018,NSW,18,0
26102018,NSW,18,0
27102018,NSW,20,0
28102018,NSW,18,0.25
29102018,NSW,18,0
30102018,NSW,21,0
31102018,NSW,20,0
1112018,NSW,23,0
2112018,NSW,29,4.06
3112018,NSW,26,0
4112018,NSW,22,0
5112018,NSW,22,0
6112018,NSW,27,0
7112018,NSW,20,10.92
8112018,NSW,14,0
9112018,NSW,18,0
10112018,NSW,19,0
11112018,NSW,19,0
12112018,NSW,19,0
13112018,NSW,22,0
14112018,NSW,22,0.25
15112018,NSW,19,0.25
16112018,NSW,18,0
17112018,NSW,18,0
18112018,NSW,19,0
19112018,NSW,19,0
20112018,NSW,21,0
21112018,NSW,25,0.25
22112018,NSW,21,0
23112018,NSW,19,0
24112018,NSW,19,0
25112018,NSW,18,0
26112018,NSW,18,0
27112018,NSW,21,0
28112018,NSW,18,14.99
29112018,NSW,18,0
30112018,NSW,20,0
1122018,NSW,22,0
2122018,NSW,27,0
3122018,NSW,23,0
4122018,NSW,20,0.76
5122018,NSW,19,0.51
6122018,NSW,22,0.25
7122018,NSW,23,0
8122018,NSW,23,0
9122018,NSW,23,0
10122018,NSW,23,0
11122018,NSW,21,0
12122018,NSW,21,0
13122018,NSW,23,23.11
14122018,NSW,22,9.91
15122018,NSW,23,3.05
16122018,NSW,26,0
17122018,NSW,24,0
18122018,NSW,22,1.02
19122018,NSW,22,4.06
20122018,NSW,24,16
21122018,NSW,21,0
22122018,NSW,19,0.76
23122018,NSW,19,0
24122018,NSW,21,0
25122018,NSW,24,0
26122018,NSW,26,0
27122018,NSW,27,0
28122018,NSW,27,0
29122018,NSW,27,0
30122018,NSW,27,0
31122018,NSW,27,5.08
1012018,VIC,20,0
2012018,VIC,19,0
3012018,VIC,17,0
4012018,VIC,18,0
5012018,VIC,21,0
6012018,VIC,29,0
7012018,VIC,18,0
8012018,VIC,19,0
9012018,VIC,18,0
10012018,VIC,18,0
11012018,VIC,24,0
12012018,VIC,23,3.05
13012018,VIC,16,7.11
14012018,VIC,14,0
15012018,VIC,17,0
16012018,VIC,18,0
17012018,VIC,21,0
18012018,VIC,27,0
19012018,VIC,31,0
20012018,VIC,22,0
21012018,VIC,24,0.25
22012018,VIC,22,0
23012018,VIC,21,0
24012018,VIC,19,0
25012018,VIC,23,3.05
26012018,VIC,24,0.25
27012018,VIC,27,0
28012018,VIC,30,0
29012018,VIC,26,20.07
30012018,VIC,17,0
31012018,VIC,16,0
1022018,VIC,14,0
2022018,VIC,18,0
3022018,VIC,20,0
4022018,VIC,20,0
5022018,VIC,21,0
6022018,VIC,22,0
7022018,VIC,27,0
8022018,VIC,24,0
9022018,VIC,22,0
10022018,VIC,23,0.76
11022018,VIC,16,0
12022018,VIC,18,0
13022018,VIC,20,0
14022018,VIC,19,0
15022018,VIC,17,0
16022018,VIC,18,0
17022018,VIC,18,0
18022018,VIC,18,0.25
19022018,VIC,21,0.25
20022018,VIC,20,0
21022018,VIC,21,0
22022018,VIC,23,0.25
23022018,VIC,27,0.76
24022018,VIC,24,0
25022018,VIC,17,0
26022018,VIC,18,0
27022018,VIC,22,0
28022018,VIC,23,0
1032018,VIC,18,0.25
2032018,VIC,19,0
3032018,VIC,22,0
4032018,VIC,16,0
5032018,VIC,16,0
6032018,VIC,18,0
7032018,VIC,21,0
8032018,VIC,22,0
9032018,VIC,21,0
10032018,VIC,24,0
11032018,VIC,20,0
12032018,VIC,17,0
13032018,VIC,17,0
14032018,VIC,17,0
15032018,VIC,17,0
16032018,VIC,19,0
17032018,VIC,24,0
18032018,VIC,21,0
19032018,VIC,18,0
20032018,VIC,16,0
21032018,VIC,17,0
22032018,VIC,18,0
23032018,VIC,21,0
24032018,VIC,20,25.91
25032018,VIC,18,3.05
26032018,VIC,14,0
27032018,VIC,14,0
28032018,VIC,22,0
29032018,VIC,19,0
30032018,VIC,18,0
31032018,VIC,17,0
1042018,VIC,19,0
2042018,VIC,17,0
3042018,VIC,16,0
4042018,VIC,17,0
5042018,VIC,16,0
6042018,VIC,16,0
7042018,VIC,15,0
8042018,VIC,21,0
9042018,VIC,18,0
10042018,VIC,20,0.25
11042018,VIC,19,0
12042018,VIC,22,0
13042018,VIC,18,0
14042018,VIC,13,6.1
15042018,VIC,13,0.51
16042018,VIC,17,0
17042018,VIC,12,0
18042018,VIC,13,0
19042018,VIC,17,0
20042018,VIC,13,0
21042018,VIC,16,0
22042018,VIC,16,0
23042018,VIC,18,0.25
24042018,VIC,19,0.25
25042018,VIC,17,0.25
26042018,VIC,13,0
27042018,VIC,12,0
28042018,VIC,12,0
29042018,VIC,14,0
30042018,VIC,13,0
1052018,VIC,14,0
2052018,VIC,18,0
3052018,VIC,19,2.03
4052018,VIC,12,0.25
5052018,VIC,14,0
6052018,VIC,14,0.25
7052018,VIC,14,0
8052018,VIC,13,0
9052018,VIC,12,8.89
10052018,VIC,9,0.76
11052018,VIC,9,9.91
12052018,VIC,13,2.03
13052018,VIC,13,0
14052018,VIC,11,0.25
15052018,VIC,10,0.51
16052018,VIC,9,0.25
17052018,VIC,11,0.25
18052018,VIC,12,0
19052018,VIC,11,0
20052018,VIC,12,0.76
21052018,VIC,12,0.51
22052018,VIC,13,0
23052018,VIC,11,0
24052018,VIC,13,0
25052018,VIC,11,0
26052018,VIC,11,0
27052018,VIC,14,0
28052018,VIC,17,0
29052018,VIC,13,0
30052018,VIC,9,2.03
31052018,VIC,9,0
1062018,VIC,8,0
2062018,VIC,8,0
3062018,VIC,8,0
4062018,VIC,9,2.03
5062018,VIC,11,0.25
6062018,VIC,10,0
7062018,VIC,11,0
8062018,VIC,13,2.03
9062018,VIC,11,0
10062018,VIC,9,0
11062018,VIC,10,2.03
12062018,VIC,12,0
13062018,VIC,9,5.08
14062018,VIC,9,0.25
15062018,VIC,9,0.51
16062018,VIC,8,5.08
17062018,VIC,9,7.11
18062018,VIC,8,2.03
19062018,VIC,7,0
20062018,VIC,8,0
21062018,VIC,9,0
22062018,VIC,8,0
23062018,VIC,9,0.25
24062018,VIC,9,0
25062018,VIC,9,0
26062018,VIC,10,0
27062018,VIC,8,0
28062018,VIC,6,0.25
29062018,VIC,7,0
30062018,VIC,9,0
1072018,VIC,9,0
2072018,VIC,8,0
3072018,VIC,9,0
4072018,VIC,12,0
5072018,VIC,13,0
6072018,VIC,12,0.51
7072018,VIC,9,0.51
8072018,VIC,10,0.25
9072018,VIC,10,0
10072018,VIC,8,0
11072018,VIC,7,0
12072018,VIC,6,0
13072018,VIC,9,0
14072018,VIC,8,0
15072018,VIC,8,0
16072018,VIC,9,0
17072018,VIC,11,1.02
18072018,VIC,9,0
19072018,VIC,12,2.03
20072018,VIC,8,0.51
21072018,VIC,8,0
22072018,VIC,9,0
23072018,VIC,9,0.51
24072018,VIC,11,4.06
25072018,VIC,10,0.51
26072018,VIC,10,0
27072018,VIC,13,0
28072018,VIC,13,2.03
29072018,VIC,11,1.02
30072018,VIC,9,0
31072018,VIC,10,0
1082018,VIC,11,0
2082018,VIC,9,0
3082018,VIC,12,2.03
4082018,VIC,10,0
5082018,VIC,12,0
6082018,VIC,10,0
7082018,VIC,9,0.51
8082018,VIC,11,0.51
9082018,VIC,8,0
10082018,VIC,13,0
11082018,VIC,9,0.25
12082018,VIC,8,0
13082018,VIC,12,0
14082018,VIC,11,0
15082018,VIC,13,0
16082018,VIC,9,0
17082018,VIC,10,0
18082018,VIC,9,2.03
19082018,VIC,8,1.02
20082018,VIC,7,0.51
21082018,VIC,8,0.25
22082018,VIC,9,0
23082018,VIC,10,0
24082018,VIC,9,0
25082018,VIC,9,0
26082018,VIC,8,0.76
27082018,VIC,7,0
28082018,VIC,6,0
29082018,VIC,6,0
30082018,VIC,7,0.51
31082018,VIC,11,0.51
1092018,VIC,9,2.03
2092018,VIC,8,0
3092018,VIC,8,0
4092018,VIC,10,0
5092018,VIC,12,0
6092018,VIC,14,4.06
7092018,VIC,10,0
8092018,VIC,10,0.25
9092018,VIC,13,0
10092018,VIC,13,0
11092018,VIC,17,0
12092018,VIC,13,0
13092018,VIC,12,0
14092018,VIC,14,0
15092018,VIC,10,0.76
16092018,VIC,8,0
17092018,VIC,11,0
18092018,VIC,14,0.25
19092018,VIC,10,3.05
20092018,VIC,9,0
21092018,VIC,12,0
22092018,VIC,12,0
23092018,VIC,9,0
24092018,VIC,9,0
25092018,VIC,9,0
26092018,VIC,11,0
27092018,VIC,16,0
28092018,VIC,10,0.51
29092018,VIC,8,0.25
30092018,VIC,10,0
1102018,VIC,13,0
2102018,VIC,17,0
3102018,VIC,16,0
4102018,VIC,12,0
5102018,VIC,12,0
6102018,VIC,14,0
7102018,VIC,16,0
8102018,VIC,18,0
9102018,VIC,13,6.1
10102018,VIC,12,0
11102018,VIC,11,0.25
12102018,VIC,13,0
13102018,VIC,16,0
14102018,VIC,18,0
15102018,VIC,21,0
16102018,VIC,20,7.87
17102018,VIC,18,1.02
18102018,VIC,17,0.25
19102018,VIC,19,0
20102018,VIC,16,9.91
21102018,VIC,12,0
22102018,VIC,17,0
23102018,VIC,13,0
24102018,VIC,10,0
25102018,VIC,13,0
26102018,VIC,12,0
27102018,VIC,13,0
28102018,VIC,12,0
29102018,VIC,13,0
30102018,VIC,16,0
31102018,VIC,17,0
1112018,VIC,22,0
2112018,VIC,24,0.25
3112018,VIC,16,0
4112018,VIC,15,0.25
5112018,VIC,21,0.25
6112018,VIC,17,36.07
7112018,VIC,11,0.51
8112018,VIC,11,0.25
9112018,VIC,12,0.76
10112018,VIC,13,0.25
11112018,VIC,13,0
12112018,VIC,18,0
13112018,VIC,23,3.05
14112018,VIC,14,0.51
15112018,VIC,13,0.25
16112018,VIC,12,0
17112018,VIC,12,0
18112018,VIC,17,0
19112018,VIC,21,0
20112018,VIC,21,16
21112018,VIC,16,3.05
22112018,VIC,12,2.03
23112018,VIC,12,2.03
24112018,VIC,14,0
25112018,VIC,14,0.25
26112018,VIC,14,0
27112018,VIC,17,0
28112018,VIC,17,3.05
29112018,VIC,17,0
30112018,VIC,17,0
1122018,VIC,19,0
2122018,VIC,16,0.25
3122018,VIC,17,0
4122018,VIC,16,0
5122018,VIC,18,0
6122018,VIC,23,0
7122018,VIC,31,0
8122018,VIC,23,1.02
9122018,VIC,18,0.25
10122018,VIC,17,0.25
11122018,VIC,18,0
12122018,VIC,23,1.02
13122018,VIC,18,14.99
14122018,VIC,18,11.94
15122018,VIC,19,2.03
16122018,VIC,19,0.25
17122018,VIC,18,0
18122018,VIC,18,0
19122018,VIC,21,0
20122018,VIC,18,0.51
21122018,VIC,17,13.97
22122018,VIC,16,0
23122018,VIC,18,0
24122018,VIC,22,0
25122018,VIC,19,0
26122018,VIC,18,0
27122018,VIC,27,0
28122018,VIC,28,0
29122018,VIC,20,0.51
30122018,VIC,18,3.05
31122018,VIC,20,0
1012018,QLD,27,0
2012018,QLD,26,3.05
3012018,QLD,26,0
4012018,QLD,23,0
5012018,QLD,25,0
6012018,QLD,24,0
7012018,QLD,24,0
8012018,QLD,26,0
9012018,QLD,26,0
10012018,QLD,26,0
11012018,QLD,27,0
12012018,QLD,26,0
13012018,QLD,28,5.08
14012018,QLD,30,0
15012018,QLD,22,0
16012018,QLD,22,0
17012018,QLD,22,0.25
18012018,QLD,23,0
19012018,QLD,23,0
20012018,QLD,23,0
21012018,QLD,24,0
22012018,QLD,26,0
23012018,QLD,25,0
24012018,QLD,26,7.11
25012018,QLD,27,0
26012018,QLD,27,0
27012018,QLD,28,0
28012018,QLD,27,2.03
29012018,QLD,26,0
30012018,QLD,26,0
31012018,QLD,27,3.05
1022018,QLD,22,1.02
2022018,QLD,20,4.06
3022018,QLD,19,6.1
4022018,QLD,22,0.25
5022018,QLD,22,0
6022018,QLD,22,0
7022018,QLD,22,0.25
8022018,QLD,22,0.25
9022018,QLD,23,0
10022018,QLD,24,0
11022018,QLD,26,11.94
12022018,QLD,25,0
13022018,QLD,26,11.94
14022018,QLD,26,0
15022018,QLD,28,0
16022018,QLD,28,0.51
17022018,QLD,27,0
18022018,QLD,27,0
19022018,QLD,25,0
20022018,QLD,26,0
21022018,QLD,24,0.51
22022018,QLD,23,20.07
23022018,QLD,23,67.06
24022018,QLD,24,7.11
25022018,QLD,26,0.51
26022018,QLD,26,6.1
27022018,QLD,24,0
28022018,QLD,23,0
1032018,QLD,26,0
2032018,QLD,26,0
3032018,QLD,26,0
4032018,QLD,28,1.02
5032018,QLD,25,37.08
6032018,QLD,22,6.1
7032018,QLD,21,3.05
8032018,QLD,22,2.03
9032018,QLD,22,0.51
10032018,QLD,22,3.05
11032018,QLD,21,3.05
12032018,QLD,22,0
13032018,QLD,22,1.02
14032018,QLD,23,0.25
15032018,QLD,23,0
16032018,QLD,23,0
17032018,QLD,24,0
18032018,QLD,24,0
19032018,QLD,25,0
20032018,QLD,25,0
21032018,QLD,23,22.1
22032018,QLD,23,7.11
23032018,QLD,23,2.03
24032018,QLD,24,0
25032018,QLD,22,0
26032018,QLD,24,0.25
27032018,QLD,24,28.96
28032018,QLD,26,0.25
29032018,QLD,23,0
30032018,QLD,24,0
31032018,QLD,24,0
1042018,QLD,23,2.03
2042018,QLD,24,0
3042018,QLD,23,0.51
4042018,QLD,22,4.06
5042018,QLD,22,2.03
6042018,QLD,22,1.02
7042018,QLD,22,0.25
8042018,QLD,22,0
9042018,QLD,22,0
10042018,QLD,22,0.76
11042018,QLD,22,0
12042018,QLD,23,0
13042018,QLD,22,0
14042018,QLD,22,0.25
15042018,QLD,23,0
16042018,QLD,22,0
17042018,QLD,22,0
18042018,QLD,21,8.89
19042018,QLD,21,0
20042018,QLD,22,3.05
21042018,QLD,21,0
22042018,QLD,21,0
23042018,QLD,21,0
24042018,QLD,21,0
25042018,QLD,21,0
26042018,QLD,22,0
27042018,QLD,22,0
28042018,QLD,19,0
29042018,QLD,19,0
30042018,QLD,19,0
1052018,QLD,20,0.51
2052018,QLD,21,0.25
3052018,QLD,20,0
4052018,QLD,21,0
5052018,QLD,21,0
6052018,QLD,20,0
7052018,QLD,20,7.87
8052018,QLD,20,3.05
9052018,QLD,22,0
10052018,QLD,19,0
11052018,QLD,18,0
12052018,QLD,17,0
13052018,QLD,16,0
14052018,QLD,17,0
15052018,QLD,17,0
16052018,QLD,17,0
17052018,QLD,17,0
18052018,QLD,18,0
19052018,QLD,17,0
20052018,QLD,18,0
21052018,QLD,16,0
22052018,QLD,16,0
23052018,QLD,17,0
24052018,QLD,18,0
25052018,QLD,18,0
26052018,QLD,18,0
27052018,QLD,18,2.03
28052018,QLD,17,6.1
29052018,QLD,18,0
30052018,QLD,18,0.25
31052018,QLD,14,0
1062018,QLD,14,0
2062018,QLD,14,0
3062018,QLD,17,0
4062018,QLD,16,0
5062018,QLD,16,0
6062018,QLD,16,0
7062018,QLD,17,7.87
8062018,QLD,17,1.02
9062018,QLD,18,0
10062018,QLD,17,0.25
11062018,QLD,16,0
12062018,QLD,14,0
13062018,QLD,17,0
14062018,QLD,18,0
15062018,QLD,17,0
16062018,QLD,14,0
17062018,QLD,14,0
18062018,QLD,13,0
19062018,QLD,13,0
20062018,QLD,13,0.51
21062018,QLD,14,0.25
22062018,QLD,16,0
23062018,QLD,14,0
24062018,QLD,14,0
25062018,QLD,16,0
26062018,QLD,17,0.51
27062018,QLD,16,3.05
28062018,QLD,17,0
29062018,QLD,13,0
30062018,QLD,16,0
1072018,QLD,18,0.25
2072018,QLD,18,0.25
3072018,QLD,17,0
4072018,QLD,18,0
5072018,QLD,18,3.05
6072018,QLD,20,2.03
7072018,QLD,19,0
8072018,QLD,14,0
9072018,QLD,12,0
10072018,QLD,14,0
11072018,QLD,14,0.51
12072018,QLD,17,0.25
13072018,QLD,14,0
14072018,QLD,12,0
15072018,QLD,12,0
16072018,QLD,14,0
17072018,QLD,13,0
18072018,QLD,13,0.25
19072018,QLD,12,0
20072018,QLD,16,0
21072018,QLD,12,0
22072018,QLD,13,0
23072018,QLD,14,0
24072018,QLD,14,0
25072018,QLD,15,0
26072018,QLD,19,0
27072018,QLD,16,0
28072018,QLD,17,0
29072018,QLD,17,2.03
30072018,QLD,18,0.25
31072018,QLD,14,0
1082018,QLD,13,0
2082018,QLD,14,0
3082018,QLD,16,0
4082018,QLD,17,0
5082018,QLD,16,0
6082018,QLD,18,0
7082018,QLD,17,0
8082018,QLD,13,0
9082018,QLD,13,0
10082018,QLD,14,0
11082018,QLD,17,0
12082018,QLD,18,0
13082018,QLD,13,0
14082018,QLD,13,0
15082018,QLD,14,0.51
16082018,QLD,17,0
17082018,QLD,17,0
18082018,QLD,16,0
19082018,QLD,16,0
20082018,QLD,15,0
21082018,QLD,13,0
22082018,QLD,16,0
23082018,QLD,14,0
24082018,QLD,16,0
25082018,QLD,17,0
26082018,QLD,16,7.87
27082018,QLD,17,0
28082018,QLD,16,0
29082018,QLD,16,0
30082018,QLD,14,0
31082018,QLD,16,0
1092018,QLD,20,0
2092018,QLD,17,0
3092018,QLD,16,0
4092018,QLD,16,7.87
5092018,QLD,16,0
6092018,QLD,16,0
7092018,QLD,18,0
8092018,QLD,20,4.06
9092018,QLD,18,0
10092018,QLD,17,0
11092018,QLD,17,0
12092018,QLD,18,0
13092018,QLD,18,0
14092018,QLD,19,0
15092018,QLD,18,0
16092018,QLD,19,0
17092018,QLD,16,0
18092018,QLD,17,0
19092018,QLD,17,0
20092018,QLD,20,0
21092018,QLD,17,0
22092018,QLD,17,0
23092018,QLD,18,0
24092018,QLD,18,0
25092018,QLD,17,11.94
26092018,QLD,18,2.03
27092018,QLD,17,0
28092018,QLD,21,0
29092018,QLD,20,2.03
30092018,QLD,18,10.92
1102018,QLD,17,0
2102018,QLD,18,0
3102018,QLD,17,0
4102018,QLD,18,0
5102018,QLD,20,3.05
6102018,QLD,18,0.76
7102018,QLD,19,0
8102018,QLD,20,3.05
9102018,QLD,20,0
10102018,QLD,20,0.76
11102018,QLD,21,6.1
12102018,QLD,18,6.1
13102018,QLD,17,10.92
14102018,QLD,18,16
15102018,QLD,19,6.1
16102018,QLD,21,0.51
17102018,QLD,21,0.51
18102018,QLD,21,0.51
19102018,QLD,22,0
20102018,QLD,21,0
21102018,QLD,22,10.92
22102018,QLD,20,0
23102018,QLD,22,0
24102018,QLD,23,0
25102018,QLD,22,1.02
26102018,QLD,23,0
27102018,QLD,22,0
28102018,QLD,23,0.51
29102018,QLD,18,0.76
30102018,QLD,19,0
31102018,QLD,20,0
1112018,QLD,20,0
2112018,QLD,22,0
3112018,QLD,21,0
4112018,QLD,23,0
5112018,QLD,23,0
6112018,QLD,26,0
7112018,QLD,25,0
8112018,QLD,21,0
9112018,QLD,19,0
10112018,QLD,19,0
11112018,QLD,21,0
12112018,QLD,21,0
13112018,QLD,21,0
14112018,QLD,21,0
15112018,QLD,23,0
16112018,QLD,23,0
17112018,QLD,23,6.1
18112018,QLD,21,0
19112018,QLD,21,0
20112018,QLD,21,0
21112018,QLD,24,0.76
22112018,QLD,26,5.08
23112018,QLD,24,0
24112018,QLD,23,0
25112018,QLD,24,0
26112018,QLD,24,0
27112018,QLD,22,1.02
28112018,QLD,29,3.05
29112018,QLD,26,0
30112018,QLD,23,0
1122018,QLD,24,0
2122018,QLD,26,0
3122018,QLD,26,0
4122018,QLD,23,1.02
5122018,QLD,23,3.05
6122018,QLD,22,0
7122018,QLD,21,0
8122018,QLD,23,0
9122018,QLD,24,0
10122018,QLD,23,0
11122018,QLD,23,0
12122018,QLD,24,0
13122018,QLD,24,0
14122018,QLD,26,2.03
15122018,QLD,24,0.51
16122018,QLD,23,7.11
17122018,QLD,24,1.02
18122018,QLD,24,1.02
19122018,QLD,26,0.25
20122018,QLD,27,0
21122018,QLD,27,2.03
22122018,QLD,28,0
23122018,QLD,23,0
24122018,QLD,22,0.51
25122018,QLD,21,0
26122018,QLD,21,0
27122018,QLD,23,0
28122018,QLD,24,0
29122018,QLD,24,0
30122018,QLD,27,0
31122018,QLD,26,0